target	string_address	string_value	ref_from	function_entry	function_name
DxLib	1404ac1f0	DxLib	1401a78ff	1401a6900	FUN_1401a6900
DxArchive_.cpp	1404acd18	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxArchive_.cpp	1401b3c80	1401b3b60	FUN_1401b3b60
DxArchive_.cpp	1404acd18	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxArchive_.cpp	1401b3d01	1401b3b60	FUN_1401b3b60
DxArchive_.cpp	1404acd18	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxArchive_.cpp	1401b3d7e	1401b3b60	FUN_1401b3b60
DxArchive_.cpp	1404acd18	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxArchive_.cpp	1401b3ddf	1401b3b60	FUN_1401b3b60
DxArchive_.cpp	1404acd18	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxArchive_.cpp	1401b1bdf	1401b1ba0	FUN_1401b1ba0
DxArchive_.cpp	1404acd18	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxArchive_.cpp	1401b1039	1401b1030	FUN_1401b1030
DxArchive_.cpp	1404acd18	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxArchive_.cpp	1401b1273	1401b1250	FUN_1401b1250
DxArchive_.cpp	1404acd18	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxArchive_.cpp	1401b3320	1401b3280	FUN_1401b3280
DxArchive_.cpp	1404acd18	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxArchive_.cpp	1401b358b	1401b3410	FUN_1401b3410
DxArchive_.cpp	1404acd18	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxArchive_.cpp	1401b3641	1401b3410	FUN_1401b3410
DxArchive_.cpp	1404acd18	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxArchive_.cpp	1401b368f	1401b3410	FUN_1401b3410
DxArchive_.cpp	1404acd18	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxArchive_.cpp	1401b1456	1401b1420	FUN_1401b1420
DxArchive_.cpp	1404acd18	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxArchive_.cpp	1401b157c	1401b1540	FUN_1401b1540
