address	raw_le	float32	int32	double64	int64
14053ae30	0000b4430080b643	360.00000000000000	1135869952	1.6212961566360863e+18	4879227984926736384
14053ac2c	0000204133333341	10.000000000000000	1092616192	1258291.2543945312	4698155131506524160
14053a170	0000204000000000	2.5000000000000000	1075838976	5.3153507850000000e-315	1075838976
140539d20	0000003f00000000	0.50000000000000000	1056964608	5.2220990170000000e-315	1056964608
14053a2e8	0000404000000000	3.0000000000000000	1077936128	5.3257120930000000e-315	1077936128
140539f40	000000000000f03f	0.0000000000000000	0	1.0000000000000000	4607182418800017408
140539f50	14ae47e17a14f03f	-2.3021535759564590e+20	-515396076	1.0050000000000000	4607204936798154260
14053b034	0000204500509b45	2560.0000000000000	1159725056	2.1132026514691678e+27	5015690572097126400
1407c77a4	0100000064000000	1.4012984643248170e-45	1	2.1219957909700000e-312	429496729601
140538ad8	4416000044160000	7.9874012466514570e-42	5700	1.2095376011318000e-310	24481313592900
140538adc	44160000e4250000	7.9874012466514570e-42	5700	2.0583359175179300e-310	41661182776900
140538ae0	e42500001c250000	1.3592595103950726e-41	9700	2.0158960018962500e-310	40802189321700
140538ae4	1c250000b42d0000	1.3312335411085762e-41	9500	2.4827350758987300e-310	50251117372700
140538ae8	b42d0000182e0000	1.6395192032600360e-41	11700	2.5039550339171000e-310	50680614104500
140538aec	182e0000d4300000	1.6535321879032841e-41	11800	2.6524947392896000e-310	53687091211800
140538af0	d4300000d4300000	1.7516230804060213e-41	12500	2.6524947393241700e-310	53687091212500
140538af4	d4300000ac530000	1.7516230804060213e-41	12500	4.5453149848652000e-310	91998199492820
140538af8	ac530000ec450000	3.0015813105837580e-41	21420	3.7983724668861300e-310	76879914619820
140538afc	ec450000e02e0000	2.5083242511414226e-41	17900	2.5463949500427000e-310	51539607569900
140538b00	e02e000090010000	1.6815581571897805e-41	12000	8.4879832231500000e-312	1717986930400
