address	value
1404a7488	File
1404a7498	1YWe\n
1404a74a8	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxFile.cpp
1404a74e0	Handle:0x%08x Type:Normal    FileSize:%lld CurrentPos:%lld
1404a7560	Handle:0x%08x Type:FullyLoad FileSize:%lld CurrentPos:%lld
1404a7670	Image File Load Error : %s
1404a7768	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxGraphics.cpp
1404a77a0	Graph
1404a77b0	Shader
1404a77c0	ShaderConstantBuffer
1404a77f0	VertexBuffer
1404a7810	IndexBuffer
1404a7828	ShadowMap
1404a7978	None
1404a7990	Handle:0x%08x Size:%dx%d UsePos:%d,%d File:%s
1404a7a50	Image File Load Error : %s \n
1404a7a90	Graph Handle Setup Error : %s
1404a7cc8	 in CreateDivGraphFromGraphImage\n
1404a7d30	 in CreateDivGraphFromGraphImage\n
1404a7f60	.txt
1404a7f70	Log.txt
1404a7f80	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxLog.cpp
1404a7ff0	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxFont.cpp
1404a8020	Font
1404a8120	 in CreateFontToHandle
1404a81f8	DX_FONTTYPE_NORMAL
1404a8220	DX_FONTTYPE_EDGE
1404a8248	DX_FONTTYPE_ANTIALIASING
1404a8280	DX_FONTTYPE_ANTIALIASING_4X4
1404a82c0	DX_FONTTYPE_ANTIALIASING_8X8
1404a8300	DX_FONTTYPE_ANTIALIASING_16X16
1404a8340	DX_FONTTYPE_ANTIALIASING_EDGE
1404a8380	DX_FONTTYPE_ANTIALIASING_EDGE_4X4
1404a83d0	DX_FONTTYPE_ANTIALIASING_EDGE_8X8
1404a8420	DX_FONTTYPE_ANTIALIASING_EDGE_16X16
1404a8468	Null
1404a8480	Handle:0x%08x IsFontFile:true  FontName:%s FontType:%s Size:%d Thickness:%d Height:%d
1404a8530	Handle:0x%08x IsFontFile:false FontName:%s FontType:%s Size:%d Thickness:%d Height:%d
1404a86b8	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxBaseImage.cpp
1404a88ba	 in CreateDIBGraph \n
1404a8930	Sound
1404a8940	SoftSound
1404a8958	Music
1404a8990	..\\..\\..\\..\\..\\Source\\Library\\Main\\DxSound.cpp
1404a89c0	Handle:0x%08x Type:Stream SamplePerSec:%d BitsPerSample:%d Channels:%d
1404a8a50	Handle:0x%08x Type:Normal SamplePerSec:%d BitsPerSample:%d Channels:%d Samples:%d
1404a8ba8	 in AddSreamSound\n
1404a8d00	Sound File Open Error : %s
1404a8d38	Sound File Setup Error : %s
1404a8e78	LOOPSTART
1404a8e90	LOOPEND
1404a8ea0	LOOPLENGTH
1404a8eb8	Sound File Load Error 2 : %s
1404a8ef8	Sound File Setup Error %d : %s
1404a8f38	Sound File Load Error : %s
1404a8fc0	LoadSoundMemByMemImageBase Error 1
1404a9010	LoadSoundMemByMemImageBase Error %d
1404a929c	 in AddSoftSoundData
1404a93a8	File Open Error : %s
1404a93e0	File Load : Memory Alloc Error : %s
1404a9bf8	ASIOSTInt16MSB
1404a9c18	ASIOSTInt24MSB
1404a9c38	ASIOSTInt32MSB
1404a9c58	ASIOSTFloat32MSB
1404a9c80	ASIOSTFloat64MSB
1404a9ca8	ASIOSTInt32MSB16
1404a9cd0	ASIOSTInt32MSB18
1404a9cf8	ASIOSTInt32MSB20
1404a9d20	ASIOSTInt32MSB24
1404a9d48	ASIOSTInt16LSB
1404a9d68	ASIOSTInt24LSB
