root	direction	ref_addr	function_entry	function_name
1400f7150	out	1400f7297	1400f6c40	FUN_1400f6c40
1400f7150	out	1400f72c4	14018f230	FUN_14018f230
1400f7150	out	1400f738d	1401105c0	FUN_1401105c0
1400f7150	out	1400f73ac	1401105c0	FUN_1401105c0
1400f7150	out	1400f7421	1401121f0	FUN_1401121f0
1400f7150	in	140ea45c0		
1400f7150	in	14054a100		
1400f7150	in	14054a134		
1400f7150	in	1400d3935	1400d21e0	state_02_title_main_menu_candidate
1400f7150	in	1400d8f2b	1400d5d50	state_04_gameplay_update_candidate
1400f7150	in	140100bf2	1400ffc00	state_0a_options_menu_candidate
1400f7150	in	14010555d	140104d80	state_1b_stage_result_transition_panel_candidate
1400f7150	in	1401103b3	14010e9b0	state_05_gameplay_boss_or_result_candidate
1400f7150	in	140116002	140115880	state_0f_replay_load_select_candidate
1400f7150	in	1401179eb	1401172c0	state_26_save_replay_adjacent_menu_candidate
1400f7150	in	14011812a	140117b00	state_27_save_replay_adjacent_menu_candidate
1400f7150	in	1400d338b	1400d21e0	state_02_title_main_menu_candidate
1400d3a60	out	1400d3aaf	140134db0	FUN_140134db0
1400d3a60	out	1400d3c2d	140070d00	FUN_140070d00
1400d3a60	out	1400d3e77	140323cfc	_malloc_base
1400d3a60	out	1400d3e97	EXTERNAL:00000061	MessageBoxA
1400d3a60	out	1400d3fb7	140070e40	FUN_140070e40
1400d3a60	out	1400d3fc6	1400714d0	FUN_1400714d0
1400d3a60	in	140ea3eb8		
1400d3a60	in	140549180		
1400d3a60	in	1405491c4		
1400d3a60	in	1400b4e2a	1400b4c60	state_06_gallery_list_candidate
1400d3a60	in	1400b5ed5	1400b5c70	state_07_gallery_detail_candidate
1400d3a60	in	1400b8db9	1400b8890	state_08_gallery_unlock_or_achievement_candidate
1400d3a60	in	1400d2d01	1400d21e0	state_02_title_main_menu_candidate
1400d3a60	in	1400d565d	1400d4610	state_03_stage_start_init_candidate
1400d3a60	in	1400d884e	1400d5d50	state_04_gameplay_update_candidate
1400d3a60	in	1400ff6f8	1400ff570	state_09_menu_branch_candidate
1400d3a60	in	1400ffdcd	1400ffc00	state_0a_options_menu_candidate
1400d3a60	in	140100fb2	140100e00	state_0b_options_submenu_a_candidate
1400d3a60	in	140101b91	1401019e0	state_0c_config_menu_candidate
1400d3a60	in	14010310f	140102ae0	state_0d_key_config_menu_candidate
1400d3a60	in	14010eccc	14010e9b0	state_05_gameplay_boss_or_result_candidate
1400d3a60	in	140111982	1401115f0	state_11_13_menu_branch_shared_candidate
1400d3a60	in	14011530d	140115190	state_0e_replay_list_menu_candidate
1400d3a60	in	140115a2f	140115880	state_0f_replay_load_select_candidate
1400d3fd0	out	1400d40cb	140332d90	FUN_140332d90
1400d3fd0	out	1400d413c	140332d90	FUN_140332d90
1400d3fd0	out	1400d4162	140323cfc	_malloc_base
1400d3fd0	out	1400d4182	EXTERNAL:00000061	MessageBoxA
1400d3fd0	out	1400d425d	140184700	FUN_140184700
1400d3fd0	out	1400d4270	14018a340	FUN_14018a340
1400d3fd0	out	1400d4297	140323ce8	FUN_140323ce8
1400d3fd0	in	140ea3ef4		
1400d3fd0	in	140003de4	140003ad0	FUN_140003ad0
1400d3fd0	in	140003e09	140003ad0	FUN_140003ad0
1400d3fd0	in	140004109	140003e60	FUN_140003e60
1400d3fd0	in	1400b5b2c	1400b4c60	state_06_gallery_list_candidate
1400d3fd0	in	1400b70ae	1400b5c70	state_07_gallery_detail_candidate
1400d3fd0	in	1400bc921	1400b8890	state_08_gallery_unlock_or_achievement_candidate
1400d3fd0	in	1400bcf90	1400bca30	state_14_replay_demo_gameplay_update_candidate
1400d3fd0	in	1400bd003	1400bca30	state_14_replay_demo_gameplay_update_candidate
1400d3fd0	in	1400c6cdd	1400c5d70	state_22_gameplay_result_branch_candidate
1400d3fd0	in	1400c815f	1400c7df0	state_1f_gameplay_result_branch_candidate
1400d3fd0	in	1400d32fb	1400d21e0	state_02_title_main_menu_candidate
1400d3fd0	in	1400d3663	1400d21e0	state_02_title_main_menu_candidate
1400d3fd0	in	1400d39aa	1400d21e0	state_02_title_main_menu_candidate
1400d3fd0	in	1400d5b10	1400d4610	state_03_stage_start_init_candidate
1400d3fd0	in	1400d5c04	1400d4610	state_03_stage_start_init_candidate
1400d3fd0	in	1400d8f1d	1400d5d50	state_04_gameplay_update_candidate
1400d3fd0	in	1400d8f66	1400d5d50	state_04_gameplay_update_candidate
1400d3fd0	in	1400d9a7c	1400d9110	state_28_29_ending_result_candidate
1400d3fd0	in	1400faa50	1400f7570	state_01_opening_attract_candidate
1400d3fd0	in	1400fab7b	1400f7570	state_01_opening_attract_candidate
