root	direction	ref_addr	function_entry	function_name
14007b710	out	14007ba1a	140078a00	stage_entity_spawn_candidate
14007b710	out	14007ba6d	140078a00	stage_entity_spawn_candidate
14007b710	out	14007bfbf	140078a00	stage_entity_spawn_candidate
14007b710	in	140ea1c38		
14007b710	in	140118488	140118420	stage_01_gameplay_update_candidate
14007b710	in	1401184b3	140118420	stage_01_gameplay_update_candidate
14007b710	in	1401184de	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118509	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118534	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118617	140118420	stage_01_gameplay_update_candidate
14007b710	in	14011863f	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118667	140118420	stage_01_gameplay_update_candidate
14007b710	in	14011868f	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118778	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118866	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118948	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118a2a	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118a55	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118b43	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118c28	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118c53	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118d8d	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118db5	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118ea8	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118f96	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118fbe	140118420	stage_01_gameplay_update_candidate
14007b710	in	140118fe9	140118420	stage_01_gameplay_update_candidate
14007b710	in	1401190ec	140118420	stage_01_gameplay_update_candidate
14007b710	in	1401191da	140118420	stage_01_gameplay_update_candidate
14007b710	in	1401192c2	140118420	stage_01_gameplay_update_candidate
14007b710	in	1401192ea	140118420	stage_01_gameplay_update_candidate
14007b710	in	1401196d4	140119640	stage_02_gameplay_update_candidate
14007b710	in	1401197bc	140119640	stage_02_gameplay_update_candidate
14007b710	in	1401197e4	140119640	stage_02_gameplay_update_candidate
14007b710	in	1401198c8	140119640	stage_02_gameplay_update_candidate
14007b710	in	1401198f8	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011991c	140119640	stage_02_gameplay_update_candidate
14007b710	in	1401199fd	140119640	stage_02_gameplay_update_candidate
14007b710	in	140119a25	140119640	stage_02_gameplay_update_candidate
14007b710	in	140119a4d	140119640	stage_02_gameplay_update_candidate
14007b710	in	140119b39	140119640	stage_02_gameplay_update_candidate
14007b710	in	140119c1e	140119640	stage_02_gameplay_update_candidate
14007b710	in	140119d03	140119640	stage_02_gameplay_update_candidate
14007b710	in	140119d2b	140119640	stage_02_gameplay_update_candidate
14007b710	in	140119e0d	140119640	stage_02_gameplay_update_candidate
14007b710	in	140119eef	140119640	stage_02_gameplay_update_candidate
14007b710	in	140119f1a	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a002	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a02d	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a112	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a1f8	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a220	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a248	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a32d	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a358	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a441	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a523	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a54b	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a573	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a658	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a683	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a6ae	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a6d9	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a7bb	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a7e6	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a8f3	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011a9d5	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011aa28	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011aa43	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011aa5e	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011aa79	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011aa94	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011aaaf	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011ab91	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011ac73	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011ac9b	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011acc3	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011acef	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011adbb	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011ade8	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011ae0c	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011ae27	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011ae42	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011af2a	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011af55	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011b03a	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011b062	140119640	stage_02_gameplay_update_candidate
14007b710	in	14011b4ff	14011b3d0	stage_03_gameplay_update_candidate
14007b710	in	14011b52a	14011b3d0	stage_03_gameplay_update_candidate
14007b710	in	14011b555	14011b3d0	stage_03_gameplay_update_candidate
14007b710	in	14011b647	14011b3d0	stage_03_gameplay_update_candidate
14007b710	in	14011b672	14011b3d0	stage_03_gameplay_update_candidate
14007b710	in	14011b69d	14011b3d0	stage_03_gameplay_update_candidate
14007b710	in	14011b6c5	14011b3d0	stage_03_gameplay_update_candidate
14007b710	in	14011b748	14011b3d0	stage_03_gameplay_update_candidate
14007b710	in	14011b76c	14011b3d0	stage_03_gameplay_update_candidate
14007b710	in	14011b854	14011b3d0	stage_03_gameplay_update_candidate
14007b710	in	14011b933	14011b3d0	stage_03_gameplay_update_candidate
14007b710	in	14011b95e	14011b3d0	stage_03_gameplay_update_candidate
14007b710	in	14011ba46	14011b3d0	stage_03_gameplay_update_candidate
