target	ref_from	ref_type	function_entry	function_name
140976008	1401b23be	WRITE	1401b23b0	dxarchive_set_key_candidate
140976008	1401b23cc	WRITE	1401b23b0	dxarchive_set_key_candidate
140976008	1401b19f3	READ	1401b17e0	FUN_1401b17e0
140976008	1401b1a60	READ	1401b17e0	FUN_1401b17e0
140976008	1401b1a93	READ	1401b17e0	FUN_1401b17e0
14097600c	1401b19e2	DATA	1401b17e0	FUN_1401b17e0
14097600c	1401b1a14	DATA	1401b17e0	FUN_1401b17e0
14097600c	1401b1a73	PARAM	1401b17e0	FUN_1401b17e0
14097600c	1401b1a9e	PARAM	1401b17e0	FUN_1401b17e0
14097600c	1401b23db	DATA	1401b23b0	dxarchive_set_key_candidate
14097604b	1401b23f8	WRITE	1401b23b0	dxarchive_set_key_candidate
