root	direction	ref_addr	function_entry	function_name
14012eba0	out	14012ec14	140184700	FUN_140184700
14012eba0	out	14012ec2a	14018a340	FUN_14018a340
14012eba0	out	14012ecd6	140332d90	FUN_140332d90
14012eba0	out	14012ed0d	1401307e0	FUN_1401307e0
14012eba0	out	14012ed21	1401307e0	FUN_1401307e0
14012eba0	out	14012ed35	1401307e0	FUN_1401307e0
14012eba0	out	14012ed49	1401307e0	FUN_1401307e0
14012eba0	out	14012ed73	140130be0	FUN_140130be0
14012eba0	out	14012eddc	140323cfc	_malloc_base
14012eba0	out	14012edfc	EXTERNAL:00000061	MessageBoxA
14012eba0	out	14012ef60	140323cfc	_malloc_base
14012eba0	out	14012ef80	EXTERNAL:00000061	MessageBoxA
14012eba0	out	14012f038	140184700	FUN_140184700
14012eba0	out	14012f04b	14018a340	FUN_14018a340
14012eba0	out	14012f05f	1401307e0	FUN_1401307e0
14012eba0	out	14012f073	1401307e0	FUN_1401307e0
14012eba0	out	14012f092	1401307e0	FUN_1401307e0
14012eba0	out	14012f0af	140130be0	FUN_140130be0
14012eba0	out	14012f0cd	14007b710	FUN_14007b710
14012eba0	out	14012f0e2	14007b710	FUN_14007b710
14012eba0	out	14012f102	14007b710	FUN_14007b710
14012eba0	out	14012f117	14007b710	FUN_14007b710
14012eba0	out	14012f12c	14007b710	FUN_14007b710
14012eba0	out	14012f154	14007b710	FUN_14007b710
14012eba0	out	14012f169	14007b710	FUN_14007b710
14012eba0	out	14012f17e	14007b710	FUN_14007b710
14012eba0	out	14012f193	14007b710	FUN_14007b710
14012eba0	out	14012f1c8	1401307e0	FUN_1401307e0
14012eba0	out	14012f1dc	1401307e0	FUN_1401307e0
14012eba0	out	14012f1fb	1401307e0	FUN_1401307e0
14012eba0	out	14012f20f	1401307e0	FUN_1401307e0
14012eba0	out	14012f22c	140130be0	FUN_140130be0
14012eba0	out	14012f24d	14007b710	FUN_14007b710
14012eba0	out	14012f270	14007b710	FUN_14007b710
14012eba0	out	14012f29b	14007b710	FUN_14007b710
14012eba0	out	14012f2c6	14007b710	FUN_14007b710
14012eba0	out	14012f2de	14007b710	FUN_14007b710
14012eba0	out	14012f34e	140323cfc	_malloc_base
14012eba0	out	14012f36e	EXTERNAL:00000061	MessageBoxA
14012eba0	out	14012f47f	1401307e0	FUN_1401307e0
14012eba0	out	14012f493	1401307e0	FUN_1401307e0
14012eba0	out	14012f4a7	1401307e0	FUN_1401307e0
14012eba0	out	14012f4bb	1401307e0	FUN_1401307e0
