root	direction	ref_addr	function_entry	function_name
140070250	out	1400702f0	140332d90	FUN_140332d90
140070250	out	14007032b	140332d90	FUN_140332d90
140070250	out	1400704ee	140332d90	FUN_140332d90
140070250	out	140070564	1400c8410	FUN_1400c8410
140070250	out	140070596	140332d90	FUN_140332d90
140070250	out	14007060c	1400c8410	FUN_1400c8410
140070250	out	14007068b	1400c8410	FUN_1400c8410
140070250	out	1400706ac	140323cfc	_malloc_base
140070250	out	1400706cc	EXTERNAL:00000061	MessageBoxA
140070250	out	140070756	1400c8410	FUN_1400c8410
140070250	out	140070777	140323cfc	_malloc_base
140070250	out	140070797	EXTERNAL:00000061	MessageBoxA
140070250	out	14007088f	1400c8410	FUN_1400c8410
140070250	out	1400708f9	140070d00	FUN_140070d00
140070250	in	140ea1704		
140070250	in	14006cd6c	14006c620	FUN_14006c620
140070250	in	14006ebab	14006ce40	FUN_14006ce40
140070250	in	14006f99a	14006ecf0	FUN_14006ecf0
140070250	in	14006fc5a	14006faa0	FUN_14006faa0
140070250	in	14006ff3a	14006fcd0	FUN_14006fcd0
140070250	in	1400701a2	14006ffc0	FUN_14006ffc0
