address	old_name	new_name	status
1400f4f70	FUN_1400f4f70	game_startup_init_candidate	OK
1400ced90	FUN_1400ced90	load_primary_resources_candidate	OK
1400d0e50	FUN_1400d0e50	load_secondary_localized_resources_candidate	OK
1401b23b0	FUN_1401b23b0	dxarchive_set_key_candidate	OK
140155c60	FUN_140155c60	dxlib_load_graph_candidate	OK
140155bf0	FUN_140155bf0	dxlib_load_div_graph_candidate	OK
140115880	FUN_140115880	replay_or_save_handler_candidate_A	OK
1401171d0	FUN_1401171d0	replay_handler_candidate_B	OK
140114580	FUN_140114580	replay_or_save_handler_candidate_C	OK
1401019e0	FUN_1401019e0	config_handler_candidate	OK
1400d0a30	FUN_1400d0a30	save_init_or_reset_candidate	OK
