target	ref_from	ref_type	function_entry	function_name
140e45d80	140079b0f	READ	140079b00	stage_entity_flush_effects_candidate
140e45d80	140079be3	WRITE	140079b00	stage_entity_flush_effects_candidate
140e45d80	1400022b4	READ	140002260	FUN_140002260
140e45d80	140078ac6	READ	140078a00	stage_entity_spawn_candidate
140e45d80	140078b2a	WRITE	140078a00	stage_entity_spawn_candidate
140e45d80	1400079ca	READ	140007960	FUN_140007960
140e45d80	140007fd6	READ	140007fc0	FUN_140007fc0
140e45d80	14000939f	READ	140007fc0	FUN_140007fc0
140e45d80	14000d4e2	READ	14000d480	FUN_14000d480
140e45d80	14000e419	READ	14000e3b0	FUN_14000e3b0
140e45d80	140011ac6	READ	140011a80	FUN_140011a80
140e45d80	140011efc	READ	140011a80	FUN_140011a80
140e45d80	1400120bd	READ	1400120b0	FUN_1400120b0
140e45d80	140012e25	READ	140012dc0	FUN_140012dc0
140e45d80	140013c6b	READ	140013c00	FUN_140013c00
140e45d80	140014b94	READ	140013c00	FUN_140013c00
140e45d80	1400184f6	READ	140018480	FUN_140018480
140e45d80	14001876b	READ	140018480	FUN_140018480
140e45d80	14001ab69	READ	140018480	FUN_140018480
140e45d80	14001aca6	READ	14001ac40	FUN_14001ac40
140e45d80	14001b5a5	READ	14001b540	FUN_14001b540
140e45d80	14001c4f4	READ	14001b540	FUN_14001b540
140e45d80	14001c541	READ	14001b540	FUN_14001b540
140e45d80	140021129	READ	1400210c0	FUN_1400210c0
140e45d80	140021b39	READ	1400210c0	FUN_1400210c0
140e45d80	140021b83	READ	1400210c0	FUN_1400210c0
140e45d80	140021c90	READ	140021c80	FUN_140021c80
140e45d80	140022184	READ	140022120	FUN_140022120
140e45d80	14002308f	READ	140022120	FUN_140022120
140e45d80	1400230d9	READ	140022120	FUN_140022120
140e45d80	140026be4	READ	140026b80	FUN_140026b80
140e45d80	140027161	READ	1400270f0	FUN_1400270f0
140e45d80	14002892e	READ	1400270f0	FUN_1400270f0
140e45d80	1400289f6	READ	1400289b0	FUN_1400289b0
140e45d80	1400298ad	READ	140029880	FUN_140029880
140e45d80	14002ab13	READ	14002aac0	FUN_14002aac0
140e45d80	14002b704	READ	14002b680	FUN_14002b680
140e45d80	14002d30a	READ	14002d2f0	FUN_14002d2f0
140e45d80	140032094	READ	140032040	FUN_140032040
140e45d80	140032755	READ	140032740	FUN_140032740
140e45d80	140032b7b	READ	140032740	FUN_140032740
140e45d80	140032d7d	READ	140032740	FUN_140032740
140e45d80	1400330c2	READ	140033070	FUN_140033070
140e45d80	14003404c	READ	140033070	FUN_140033070
140e45d80	140034518	READ	140033070	FUN_140033070
140e45d80	14003468f	READ	140034670	FUN_140034670
140e45d80	140034b98	READ	140034670	FUN_140034670
140e45d80	140034f04	READ	140034e90	FUN_140034e90
140e45d80	140036b6d	READ	140036b60	FUN_140036b60
140e45d80	140037b3d	READ	140037b30	FUN_140037b30
140e45d80	1400407d9	READ	140040750	FUN_140040750
140e45d80	1400412ce	READ	140040750	FUN_140040750
140e45d80	140041741	READ	140041710	FUN_140041710
140e45d80	140041ef7	READ	140041e90	FUN_140041e90
140e45d80	1400429b9	READ	140041e90	FUN_140041e90
140e45d80	140043756	READ	140043710	FUN_140043710
140e45d80	140043ff2	READ	140043fa0	FUN_140043fa0
140e45d80	14004495a	READ	140044910	FUN_140044910
140e45d80	14004508d	READ	140045080	FUN_140045080
140e45d80	140045b06	READ	140045aa0	FUN_140045aa0
140e45d80	140046648	READ	1400465d0	FUN_1400465d0
140e45d80	1400466b7	READ	1400465d0	FUN_1400465d0
140e45d80	140047f4d	READ	1400465d0	FUN_1400465d0
140e45d80	140047f9a	READ	1400465d0	FUN_1400465d0
140e45d80	14004841b	READ	1400483e0	FUN_1400483e0
140e45d80	140048825	READ	1400483e0	FUN_1400483e0
140e45d80	140048921	READ	1400488b0	FUN_1400488b0
140e45d80	14004a4c9	READ	14004a4a0	FUN_14004a4a0
140e45d80	14005107c	READ	140051030	FUN_140051030
140e45d80	1400512be	READ	1400512b0	FUN_1400512b0
140e45d80	140052723	READ	1400526c0	FUN_1400526c0
140e45d80	140057f9d	READ	140057f90	FUN_140057f90
140e45d80	140058b17	READ	140058ad0	FUN_140058ad0
140e45d80	14005900d	READ	140059000	FUN_140059000
140e45d80	1400597b8	READ	140059760	FUN_140059760
140e45d80	14005a3fd	READ	14005a3f0	FUN_14005a3f0
140e45d80	14005b0b0	READ	14005a3f0	FUN_14005a3f0
140e45d80	14005b104	READ	14005a3f0	FUN_14005a3f0
140e45d80	14005b50f	READ	14005b4a0	FUN_14005b4a0
140e45d80	14005c55d	READ	14005b4a0	FUN_14005b4a0
140e45d80	14005c5aa	READ	14005b4a0	FUN_14005b4a0
140e45d80	14005cc83	READ	14005cc30	FUN_14005cc30
140e45d80	14005d856	READ	14005cc30	FUN_14005cc30
140e45d80	14005d8a3	READ	14005cc30	FUN_14005cc30
140e45d80	14005ddb0	READ	14005dd50	FUN_14005dd50
140e45d80	14005e4f9	READ	14005e4e0	FUN_14005e4e0
140e45d80	14005e8ef	READ	14005e890	FUN_14005e890
140e45d80	14005fc78	READ	14005fc20	FUN_14005fc20
140e45d80	140061284	READ	14005fc20	FUN_14005fc20
140e45d80	1400612d3	READ	14005fc20	FUN_14005fc20
140e45d80	140061a4f	READ	140061a00	FUN_140061a00
140e45d80	1400620ae	READ	140062060	FUN_140062060
140e45d80	140062fc3	READ	140062060	FUN_140062060
140e45d80	140063011	READ	140062060	FUN_140062060
140e45d80	140063173	READ	1400630f0	FUN_1400630f0
140e45d80	1400631da	READ	1400630f0	FUN_1400630f0
140e45d80	140063e2e	READ	1400630f0	FUN_1400630f0
140e45d80	140063e7b	READ	1400630f0	FUN_1400630f0
140e45d80	140063f16	READ	140063ec0	FUN_140063ec0
140e45d80	140064657	READ	140064630	FUN_140064630
140e45d80	14006476f	READ	140064630	FUN_140064630
140e45d80	140065b35	READ	140064630	FUN_140064630
140e45d80	1400663cf	READ	140066370	FUN_140066370
140e45d80	14006a31c	READ	14006a2e0	FUN_14006a2e0
140e45d80	14006adb6	READ	14006ad60	FUN_14006ad60
140e45d80	14006ba0d	READ	14006ad60	FUN_14006ad60
140e45d80	14006ba5a	READ	14006ad60	FUN_14006ad60
140e45d80	1400727d0	READ	140072560	FUN_140072560
140e45d80	1400758d2	READ	1400757a0	FUN_1400757a0
140e45d80	140075a63	READ	140075a00	FUN_140075a00
140e45d80	140077d5d	READ	140077cf0	FUN_140077cf0
140e45d80	140078b7b	READ	140078b70	FUN_140078b70
140e45d80	1400820fc	READ	140082090	FUN_140082090
140e45d80	140082cc2	READ	140082090	FUN_140082090
140e45d80	140083dbc	READ	140083db0	FUN_140083db0
140e45d80	140088c66	READ	140088c20	FUN_140088c20
140e45d80	1400892d0	READ	140088c20	FUN_140088c20
140e45d80	14008bdd3	READ	14008bd60	FUN_14008bd60
140e45d80	140090052	READ	14008ffe0	FUN_14008ffe0
140e45d80	140090738	READ	14008ffe0	FUN_14008ffe0
140e45d80	140090782	READ	14008ffe0	FUN_14008ffe0
140e45d80	140093595	READ	140093540	FUN_140093540
140e45d80	140093cb4	READ	140093540	FUN_140093540
140e45d80	140093cfe	READ	140093540	FUN_140093540
140e45d80	140094bcd	READ	140094bc0	FUN_140094bc0
140e45d80	140098faa	READ	140098f40	FUN_140098f40
140e45d80	1400994de	READ	140098f40	FUN_140098f40
140e45d80	14009b0f5	READ	14009b0a0	FUN_14009b0a0
140e45d80	14009c594	READ	14009c530	FUN_14009c530
140e45d80	14009cd35	READ	14009cd10	FUN_14009cd10
140e45d80	14009d2c6	READ	14009cd10	FUN_14009cd10
140e45d80	14009d3bb	READ	14009cd10	FUN_14009cd10
140e45d80	1400a1dfd	READ	1400a1df0	FUN_1400a1df0
140e45d80	1400a8abe	READ	1400a8a80	FUN_1400a8a80
140e45d80	1400ad9de	READ	1400ad970	FUN_1400ad970
140e45d80	1400ae7f7	READ	1400ad970	FUN_1400ad970
140e45d80	1400ae83e	READ	1400ad970	FUN_1400ad970
140e45d80	1400bd091	READ	1400bca30	state_14_replay_demo_gameplay_update_candidate
140e45d80	1400be129	READ	1400bca30	state_14_replay_demo_gameplay_update_candidate
140e45d80	1400be147	WRITE	1400bca30	state_14_replay_demo_gameplay_update_candidate
140e45d80	1400be159	READ	1400bca30	state_14_replay_demo_gameplay_update_candidate
140e45d80	1400c4ecf	READ	1400c4bb0	FUN_1400c4bb0
140e45d80	14010d35f	READ	14010cc90	FUN_14010cc90
140e45d80	14010d62c	READ	14010cc90	FUN_14010cc90
140e45d80	1401340e4	READ	1401340e0	FUN_1401340e0
140e45d80	1401341b3	READ	1401341a0	FUN_1401341a0
140e45d80	1400dc22a	READ	1400dc1c0	FUN_1400dc1c0
140e45d80	1400e06a0	READ	1400e0680	FUN_1400e0680
140e45d80	1400e087a	READ	1400e0680	FUN_1400e0680
140e45d80	1400e0d3f	READ	1400e0680	FUN_1400e0680
140e45d80	1400e146a	READ	1400e0680	FUN_1400e0680
140e45d80	1400e2043	READ	1400e0680	FUN_1400e0680
140e45d80	1400e2154	READ	1400e20e0	FUN_1400e20e0
140e45d80	1400e47fb	READ	1400e47c0	FUN_1400e47c0
140e45d80	1400e639b	READ	1400e6340	FUN_1400e6340
140e45d80	1400e85ac	READ	1400e8570	FUN_1400e8570
140e45d80	1400e9e96	READ	1400e9e20	FUN_1400e9e20
140e45d80	1400ea120	READ	1400e9e20	FUN_1400e9e20
140e45d80	1400eb6ac	READ	1400e9e20	FUN_1400e9e20
140e45d80	1400ee267	READ	1400ee200	FUN_1400ee200
140e45d80	1400ee745	READ	1400ee710	FUN_1400ee710
140e45d80	1400f12bb	READ	1400f1250	FUN_1400f1250
140e45d80	1400f30d6	READ	1400f3060	FUN_1400f3060
140e45d80	1400f44ad	READ	1400f4430	FUN_1400f4430
140e45d80	140134430	READ	140134420	FUN_140134420
140e45d80	14006d9d8	READ	14006ce40	FUN_14006ce40
140e45d80	14006e460	READ	14006ce40	FUN_14006ce40
