root	direction	ref_addr	function_entry	function_name
14007d4e0	out	14007d536	1403300b4	FUN_1403300b4
14007d4e0	out	14007d578	1401346a0	FUN_1401346a0
14007d4e0	out	14007d603	1400c8410	FUN_1400c8410
14007d4e0	out	14007d630	140134db0	FUN_140134db0
14007d4e0	out	14007d677	1401346a0	FUN_1401346a0
14007d4e0	out	14007d724	140332d90	FUN_140332d90
14007d4e0	out	14007d86a	1403307c0	FUN_1403307c0
14007d4e0	out	14007d885	140332d90	FUN_140332d90
14007d4e0	out	14007d91a	1403300b4	FUN_1403300b4
14007d4e0	out	14007dab5	14006c2f0	FUN_14006c2f0
14007d4e0	out	14007daf6	14006c2f0	FUN_14006c2f0
14007d4e0	out	14007db5d	1400c8410	FUN_1400c8410
14007d4e0	out	14007db92	140323cfc	_malloc_base
14007d4e0	out	14007dbcd	EXTERNAL:00000061	MessageBoxA
14007d4e0	out	14007dc85	140323cfc	_malloc_base
14007d4e0	out	14007dca5	EXTERNAL:00000061	MessageBoxA
14007d4e0	out	14007dd51	140323cfc	_malloc_base
14007d4e0	out	14007dd71	EXTERNAL:00000061	MessageBoxA
14007d4e0	out	14007de21	140323cfc	_malloc_base
14007d4e0	out	14007de41	EXTERNAL:00000061	MessageBoxA
14007d4e0	out	14007dee3	140079c10	FUN_140079c10
14007d4e0	out	14007df36	14007b010	FUN_14007b010
14007d4e0	out	14007df40	140079e20	FUN_140079e20
14007d4e0	in	140ea1d10		
14007d4e0	in	140544cbc		
14007d4e0	in	140544d44		
14007d4e0	in	140544d54		
14007d4e0	in	140078bee	140078b70	stage_entity_update_dispatch_candidate
1401331c0	out	14013320e	1401346a0	FUN_1401346a0
1401331c0	out	140133299	1400c8410	FUN_1400c8410
1401331c0	out	14013337e	140332d90	FUN_140332d90
1401331c0	out	1401333d2	1403307c0	FUN_1403307c0
1401331c0	out	1401333ef	140332d90	FUN_140332d90
1401331c0	out	14013341f	140332d90	FUN_140332d90
1401331c0	out	14013345e	140332d90	FUN_140332d90
1401331c0	out	1401334ab	1403300b4	FUN_1403300b4
1401331c0	out	1401334d3	1403307c0	FUN_1403307c0
1401331c0	out	1401334f1	140332d90	FUN_140332d90
1401331c0	out	1401335a6	14006c2f0	FUN_14006c2f0
1401331c0	out	1401335c1	140184700	FUN_140184700
1401331c0	out	1401335d4	14018a340	FUN_14018a340
1401331c0	out	14013367e	14006c2f0	FUN_14006c2f0
1401331c0	out	14013378e	14006c2f0	FUN_14006c2f0
1401331c0	out	1401337a9	140184700	FUN_140184700
1401331c0	out	1401337bc	14018a340	FUN_14018a340
1401331c0	out	140133849	1400c8410	FUN_1400c8410
1401331c0	out	1401338c9	140323cfc	_malloc_base
1401331c0	out	1401338e9	EXTERNAL:00000061	MessageBoxA
1401331c0	out	1401339cb	1400c8410	FUN_1400c8410
1401331c0	out	140133a2f	140323cfc	_malloc_base
1401331c0	out	140133a4f	EXTERNAL:00000061	MessageBoxA
1401331c0	out	140133ae8	140323cfc	_malloc_base
1401331c0	out	140133b08	EXTERNAL:00000061	MessageBoxA
1401331c0	out	140133ba1	140323cfc	_malloc_base
1401331c0	out	140133bc1	EXTERNAL:00000061	MessageBoxA
1401331c0	out	140133c5a	140323cfc	_malloc_base
1401331c0	out	140133c7a	EXTERNAL:00000061	MessageBoxA
1401331c0	out	140133d45	140079c10	FUN_140079c10
1401331c0	out	140133d77	140079e20	FUN_140079e20
1401331c0	in	140ea4fec		
1401331c0	in	14054b5c8		
1401331c0	in	14054b6d8		
1401331c0	in	140078bd4	140078b70	stage_entity_update_dispatch_candidate
140082d90	out	140082dd7	1401346a0	FUN_1401346a0
140082d90	out	140082e66	1400c8410	FUN_1400c8410
140082d90	out	140082ee4	140135290	FUN_140135290
140082d90	out	140082fb8	140078a00	stage_entity_spawn_candidate
140082d90	out	140082fd6	140135290	FUN_140135290
140082d90	out	140083015	140135290	FUN_140135290
140082d90	out	1400830e9	140078a00	stage_entity_spawn_candidate
140082d90	out	140083108	140135290	FUN_140135290
140082d90	out	1400831c8	1403300b4	FUN_1403300b4
140082d90	out	14008320d	140332d90	FUN_140332d90
140082d90	out	140083267	1403307c0	FUN_1403307c0
140082d90	out	140083287	140332d90	FUN_140332d90
