address	raw_le	float32	int32	double64	int64
1407c77a4	0100000064000000	1.4012984643248170e-45	1	2.1219957909700000e-312	429496729601
14053a930	1111111111119140	1.1443742118159064e-28	286331153	1092.2666666666667	4652518655048880401
14053ab30	9a9999999999b940	-1.5881868392106856e-23	-1717986918	6553.6000000000000	4663927774104885658
14053b050	9a9999999999a9bf	-1.5881868392106856e-23	-1717986918	-0.050000000000000000	-4636005456415188582
140539e28	9a9999999999a93f	-1.5881868392106856e-23	-1717986918	0.050000000000000000	4587366580439587226
14053aa60	7b14ae47e17aa440	89128.960937500000	1202590843	2621.4400000000000	4657983022596756603
14053ac80	0000f04100000000	30.000000000000000	1106247680	5.4655897450000000e-315	1106247680
14053accc	0000704200007842	60.000000000000000	1114636288	1649267713792.0000	4789578204823158784
14053ae48	0000c8430000cd43	400.00000000000000	1137180672	4.1793410364363244e+18	4885561171904036864
14053af2c	00003e4400403f44	760.00000000000000	1144913920	5.7646082733650215e+20	4917719688000962560
14053a088	0000000000001240	0.0000000000000000	0	4.5000000000000000	4616752568008179712
14053a0b0	0000000000001440	0.0000000000000000	0	5.0000000000000000	4617315517961601024
14053a0d0	0000000000001640	0.0000000000000000	0	5.5000000000000000	4617878467915022336
14053a0f8	0000000000001840	0.0000000000000000	0	6.0000000000000000	4618441417868443648
14053a118	0000000000001a40	0.0000000000000000	0	6.5000000000000000	4619004367821864960
14053a138	0000000000001c40	0.0000000000000000	0	7.0000000000000000	4619567317775286272
14053a178	0000000000002040	0.0000000000000000	0	8.0000000000000000	4620693217682128896
14053a190	0000000000002140	0.0000000000000000	0	8.5000000000000000	4620974692658839552
14053a1c8	0000000000002340	0.0000000000000000	0	9.5000000000000000	4621537642612260864
140539fb8	cdccccccccccfc3f	-107374184.00000000	-858993459	1.8000000000000000	4610785298501913805
14053ab70	0000c04000000000	6.0000000000000000	1086324736	5.3671573230000000e-315	1086324736
14053aec0	0000164400801844	600.00000000000000	1142292480	1.1298632616679100e+20	4906812532650803200
14053af14	0000344400003644	720.00000000000000	1144258560	4.0582844461173910e+20	4915116044465733632
