id,path,kind,dest,args,source
GFX_system_WhiteBack,media\\system\\WhiteBack.png,single,DAT_140e41ab8,0,startup
GFX_system_starting,media\\system\\starting.png,single,DAT_140e46ecc,"0), DAT_140e46ecc != -1)) && ((DAT_140e470c8 = dxlib_load_graph_candidate(""media\\system\\NowLoading.png"",0), DAT_140e470c8 != -1 && (iVar14 = load_primary_resources_candidate(), iVar14 != -1)))) { iVar16 = FUN_14019d4b0(",startup
GFX_system_TitleBack,media\\system\\TitleBack.png,single,DAT_140e467f0,0,primary
GFX_system_TitleLogo,media\\system\\TitleLogo.png,div,DAT_140e46ec8,"0), DAT_140e46ec8 != -1)) && (DAT_140e46a24 = dxlib_load_graph_candidate(""media\\player\\DataWindow.png"",0), DAT_140e46a24 != -1)) && (((DAT_140e46afc = dxlib_load_graph_candidate(""media\\player\\TimeWindow.png"",0), DAT_140e46afc != -1 && (DAT_140e45d8c = dxlib_load_graph_candidate(""media\\stage\\EnemyGauge2.png"",0), DAT_140e45d8c != -1)) && ((DAT_140e41b04 = dxlib_load_graph_candidate(""media\\stage\\BossApproach2.png"",0), DAT_140e41b04 != -1 && ((DAT_140e46874 = dxlib_load_graph_candidate(""media\\stage\\Stage2Back.png"",0), DAT_140e46874 != -1 && (DAT_140e46a0c = dxlib_load_graph_candidate(""media\\stage\\Stage3Back.png"",0), DAT_140e46a0c != -1)))))))) && ((DAT_140e468c0 = dxlib_load_graph_candidate(""media\\stage\\Stage6Back.png"",0), DAT_140e468c0 != -1 && ((((DAT_140e46a18 = dxlib_load_graph_candidate(""media\\stage\\Stage8Back1.png"",0), DAT_140e46a18 != -1 && (DAT_140e46a3c = dxlib_load_graph_candidate(""media\\stage\\Stage8Back2.png"",0), DAT_140e46a3c != -1)) && (DAT_140e45f6c = dxlib_load_graph_candidate(""media\\gallery\\NoticeFrame.png"",0), DAT_140e45f6c != -1)) && ((DAT_140e46800 = dxlib_load_graph_candidate(""media\\gallery\\GalleryFrame.png"",0), DAT_140e46800 != -1 && (DAT_140e4604c = dxlib_load_graph_candidate(""media\\gallery\\EnemyListWindow.png"",0), DAT_140e4604c != -1)))))))) { if (DAT_140e467e8 != 0) { DAT_140e46ec8 = dxlib_load_graph_candidate(""media\\system\\DemoLogo.png"",0",primary
GFX_system_BetaLogo,media\\system\\BetaLogo.png,single,DAT_140e46ec8,0,primary
GFX_system_DemoEnd,media\\system\\DemoEnd.png,div,DAT_140e473b0,"0), DAT_140e473a4 != -1)) && ((iVar4 = dxlib_load_div_graph_candidate (""media\\system\\TitleMenu.png"",9,1,9,0x21c,0x3c,&DAT_140e473b0,0,0,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\system\\Stand.png"",0x32,10,5,800,1000,&DAT_140e44240,0,0,0), iVar4 != -1)))) { lVar8 = 2; iVar4 = dxlib_load_div_graph_candidate (""media\\system\\TextBox.png"",2,1,2,600,100,&DAT_140e47540,0,0,0",primary
GFX_system_TextIcon,media\\system\\TextIcon.png,div,DAT_140e474f0,"0x14,10,2,0x50,0x50, &DAT_140e474f0,0,0,0), iVar4 != -1)) && (iVar4 = dxlib_load_div_graph_candidate (""media\\system\\StageFrame.png"",2,2,1,600,0x2d0,&DAT_140e46910,0 ,0,0), iVar4 != -1)) && ((iVar4 = dxlib_load_div_graph_candidate (""media\\system\\StageFrame2.png"",0xf,5,3,0x186,300, &DAT_140e46880,0,0,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\system\\ConfigMenu.png"",0x14,1,0x14,0xf0,0x28, &DAT_140e47340,0,0,0), iVar4 != -1)))) && (iVar4 = dxlib_load_div_graph_candidate (""media\\system\\ConfigMenu2.png"",0xf,1,0xf,0xf0,0x28, &DAT_140e478c8,0,0,0), iVar4 != -1)) && ((((iVar4 = dxlib_load_div_graph_candidate (""media\\system\\KeyConfigMenu.png"",0x15,1,0x15,0xf0,0x28, &DAT_140e473e0,0,0,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\system\\ConfigNumber.png"",0xb,1,0xb,0x1e,0x28, &DAT_140e46c30,0,0,0), iVar4 != -1)) && ((iVar4 = dxlib_load_div_graph_candidate (""media\\system\\PracticeMenu.png"",0x14,1,0x14,0xf0,0x28, &DAT_140e477f0,0,0,0), iVar4 != -1 && (((iVar4 = dxlib_load_div_graph_candidate (""media\\system\\RankingNotice.png"",0xe,1,0xe,0x280,0x3c, &DAT_140e47088,0,0,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\system\\KerPromotButton.png"",0x4b,0xf,5,0x28,0x28, &DAT_140e470d0,0,0,0), iVar4 != -1)) && (iVar4 = dxlib_load_div_graph_candidate (""media\\system\\KerboardPromot.png"",0x6e,10,0xb,0x28,0x28, &DAT_140e46ed0,0,0,0), iVar4 != -1)))))) && ((((iVar4 = dxlib_load_div_graph_candidate (""media\\player\\Player.png"",0x78,0xf,8,0x50,0x50,&DAT_140e44e70 ,0,0,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\player\\Item.png"",0xf,0xf,1,100,100,&DAT_140e45d38,0,0, 0), iVar4 != -1)) && ((iVar4 = dxlib_load_div_graph_candidate (""media\\player\\PlayerFrame.png"",0x1e,10,3,0x154,0x2d0, &DAT_140e419c0,0,0,0), iVar4 != -1 && ((iVar4 = dxlib_load_div_graph_candidate (""media\\player\\State.png"",0x20,1,0x20,200,0x28,&DAT_140e46b30 ,0,0,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\player\\PauseBack.png"",10,5,2,600,0x2d0,&DAT_140e468c8 ,0,0,0), iVar4 != -1)))))) && (iVar4 = dxlib_load_div_graph_candidate (""media\\player\\PauseCount.png"",4,4,1,0x140,0x140,&DAT_140e478b8, 0,0,0), iVar4 != -1)))))) && (((iVar4 = dxlib_load_div_graph_candidate (""media\\player\\DataWindow2.png"",10,10,1,0x3c,0x3c,&DAT_140e46bc0, 0,0,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\effect\\Effect_s.png"",0x14,10,2,100,100,&DAT_140e41930,0,0 ,0), iVar4 != -1)) && (iVar4 = dxlib_load_div_graph_candidate (""media\\effect\\Effect_m.png"",0x1e,10,3,200,200,&DAT_140e41a40,0,0, 0), iVar4 != -1)))) && ((((iVar4 = dxlib_load_div_graph_candidate (""media\\effect\\Effect_l.png"",0x1e,10,3,600,600,&DAT_140e45060,0,0 ,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\system\\Num_s.png"",0xe,0xe,1,0x14,0x1e,&DAT_140e41980,0,0, 0), iVar4 != -1)) && (((((iVar4 = dxlib_load_div_graph_candidate (""media\\system\\Num_m.png"",10,10,1,0x20,0x30,&DAT_140e47548,0,0 ,0), iVar4 != -1 && ((iVar4 = dxlib_load_div_graph_candidate (""media\\system\\Num_l.png"",0xe,0xe,1,0x30,0x48,&DAT_140e46bf8, 0,0,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\player\\DreamGauge.png"",2,2,1,0xa0,0xa0,&DAT_140e473a8 ,0,0,0), iVar4 != -1)))) && (iVar4 = dxlib_load_div_graph_candidate (""media\\stage\\TutorialButton.png"",0x10,1,0x10,0xf0,0x50, &DAT_140e475a0,0,0,0), iVar4 != -1)) && (((((((iVar4 = dxlib_load_div_graph_candidate (""media\\stage\\StageBack1.png"",10,10,1,0x2d0,0xa00, &DAT_140e469b0,0,0,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\stage\\StageBack1b.png"",10,10,1,0x2d0,0xa00, &DAT_140e46ab8,0,0,0), iVar4 != -1)) && (iVar4 = dxlib_load_div_graph_candidate (""media\\stage\\StageBack1c.png"",0xc,0xc,1,0x2d0,0xa00, &DAT_140e469d8,0,0,0), iVar4 != -1)) && ((iVar4 = dxlib_load_div_graph_candidate (""media\\stage\\StageBack1d.png"",10,10,1,0x2d0,0xa00, &DAT_140e45178,0,0,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\stage\\StageBack2.png"",10,10,1,0x2d0,0x2d0, &DAT_140e450d8,0,0,0), iVar4 != -1)))) && ((iVar4 = dxlib_load_div_graph_candidate (""media\\stage\\Enemy_s.png"",0xaa,10,0x11,100,100, &DAT_140e44660,0,0,0), iVar4 != -1 && ((iVar4 = dxlib_load_div_graph_candidate (""media\\stage\\Enemy_m.png"",0xe6,10,0x17,200,200, &DAT_140e44ad0,0,0,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\stage\\Enemy_l.png"",0x6e,10,0xb,600,600, &DAT_140e44910,0,0,0), iVar4 != -1)))))) && (iVar4 = dxlib_load_div_graph_candidate (""media\\stage\\Enemy_xl.png"",8,4,2,800,800,&DAT_140e46ea8,0,0,0 ), iVar4 != -1)) && ((((iVar4 = dxlib_load_div_graph_candidate (""media\\stage\\EnemyGauge1.png"",3,1,3,0xf6,0x10, &DAT_140e45d98,0,0,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\stage\\Boss.png"",0xa0,10,0x10,200,200,&DAT_140e44310, 0,0,0), iVar4 != -1)) && (iVar4 = dxlib_load_div_graph_candidate (""media\\stage\\BossGauge.png"",10,1,10,500,0x1e,&DAT_140e44598, 0,0,0), iVar4 != -1)) && (((iVar4 = dxlib_load_div_graph_candidate (""media\\stage\\BossName.png"",0x16,1,0x16,400,0x1e, &DAT_140e418d0,0,0,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\stage\\Bullet.png"",0x28,10,4,0x3c,0x3c,&DAT_140e451c0 ,0,0,0), iVar4 != -1)) && ((iVar4 = dxlib_load_div_graph_candidate (""media\\system\\Opening.png"",0x19,5,5,0x500,0x2d0, &DAT_140e47480,0,0,0), iVar4 != -1 && ((iVar4 = dxlib_load_div_graph_candidate (""media\\player\\Result.png"",0x14,1,0x14,0xf0,0x3c, &DAT_140e46960,0,0,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\player\\StageClear.png"",5,5,1,0x500,0x2d0, &DAT_140e47390,0,0,0), iVar4 != -1)))))))))))) && (iVar4 = dxlib_load_div_graph_candidate (""media\\system\\Ending.png"",0xf,5,3,0x500,0x2d0,&DAT_140e45f70,0,0 ,0), iVar4 != -1)))) && ((((iVar4 = dxlib_load_div_graph_candidate (""media\\system\\Credit.png"",0x42,1,0x42,0x226,0x32,&DAT_140e476d0 ,0,0,0), iVar4 != -1 && (iVar4 = dxlib_load_div_graph_candidate (""media\\gallery\\NoticeText1.png"",2,1,2,0x8c,0x28,&DAT_140e45da8, 0,0,0), iVar4 != -1)) && (iVar4 = dxlib_load_div_graph_candidate (""media\\gallery\\Achievement.png"",5,5,1,100,100,&DAT_140e46050,0,0 ,0), iVar4 != -1)) && (iVar4 = dxlib_load_div_graph_candidate (""media\\gallery\\EnemyList.png"",0x1a0,4,0x68,0x140,0x28, &DAT_140e46070,0,0,0), iVar4 != -1)))))) { puVar9 = &DAT_140e45db0; iVar4 = dxlib_load_div_graph_candidate (""media\\gallery\\EnemyListPic.png"",0x6e,10,0xb,600,600,&DAT_140e45db0,0 ,0,0",primary
GFX_system_Manual,media\\system\\Manual.png,single,,"0xb,1,0xb",secondary
GFX_system_ManualMenu,media\\system\\ManualMenu.png,single,,"0xc,1,0xc",secondary
GFX_system_DifficultyTips,media\\system\\DifficultyTips.png,single,,"6,1,6",secondary
