helper,projectile_id,visual_selector,file,line,args_count,speed,radius_or_flags,count,spread
FUN_14006c2f0,9,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/1400af090_FUN_1400af090.c,166,9,DAT_14053a160,auVar26._8_8_,,
FUN_14006c2f0,9,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/1400a2ca0_FUN_1400a2ca0.c,263,9,"CONCAT44(uVar28,uVar26)",in_stack_ffffffffffffff08._8_8_,,
FUN_14006c2f0,9,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/1400a2ca0_FUN_1400a2ca0.c,274,9,"CONCAT44(uVar28,uVar26)",auVar38._8_8_,,
FUN_14006c2f0,9,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/1400a2ca0_FUN_1400a2ca0.c,282,9,"CONCAT44(uVar28,uVar26)",in_stack_ffffffffffffff08._8_8_,,
FUN_1400709b0,4,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/1400a2ca0_FUN_1400a2ca0.c,380,11,dVar22,in_stack_ffffffffffffff08._8_8_,iVar10 - 1U,(int)(12000 / (ulonglong)(iVar10 - 1U)) * (iVar10 + -2) & 0xffff
FUN_14006c2f0,0,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/14007d4e0_FUN_14007d4e0.c,238,9,"(double)CONCAT44(uVar18,uVar17) + DAT_140539fa8",auVar23._8_8_,,
FUN_14006c2f0,4,52,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/1400b3540_FUN_1400b3540.c,200,9,uVar11,in_stack_fffffffffffffee8._8_8_,,
FUN_14006c2f0,1,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/14009f5d0_FUN_14009f5d0.c,202,2,,,,
FUN_14006c2f0,1,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/14009f5d0_FUN_14009f5d0.c,205,2,,,,
FUN_1400709b0,0,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/140082d90_FUN_140082d90.c,243,11,dVar24,auVar37._8_8_,uVar18,20000
FUN_1400709b0,0,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/140082d90_FUN_140082d90.c,248,11,(dVar31 - DAT_140539fc8) + dVar26,auVar38._8_8_,uVar18,20000
FUN_1400709b0,11,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/140098700_FUN_140098700.c,240,11,dVar1 - DAT_140539f90,auVar27._8_8_,iVar9,(int)((double)iVar13 * _DAT_140539f88) * (iVar9 + -1)
FUN_14006c2f0,12,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/1400b0120_FUN_1400b0120.c,184,9,dVar26,auVar31._8_8_,,
FUN_14006c2f0,4,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/1400b0120_FUN_1400b0120.c,192,9,dVar26,auVar33._8_8_,,
FUN_14006c2f0,4,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/1400b0120_FUN_1400b0120.c,198,9,dVar26,auVar34._8_8_,,
FUN_14006c2f0,5,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/1401331c0_FUN_1401331c0.c,104,9,uVar4,in_stack_fffffffffffffef8._8_8_,,
FUN_14006c2f0,9,1,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/1401331c0_FUN_1401331c0.c,123,9,dVar5,in_stack_fffffffffffffef8._8_8_,,
FUN_14006c2f0,9,1,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/1401331c0_FUN_1401331c0.c,144,9,dVar5,in_stack_fffffffffffffef8._8_8_,,
FUN_14006c2f0,7,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/1400aa590_FUN_1400aa590.c,224,2,,,,
FUN_14006c2f0,7,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/1400aa590_FUN_1400aa590.c,230,2,,,,
FUN_1400709b0,5,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/14009d610_FUN_14009d610.c,255,11,"CONCAT44(uVar25,uVar24)",in_stack_fffffffffffffee8._8_8_,iVar10,iVar11
FUN_1400709b0,5,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/14009d610_FUN_14009d610.c,264,11,dVar3,in_stack_fffffffffffffee8._8_8_,iVar10,iVar11
FUN_14006c2f0,0,0,reverse/ghidra-or-ida/exports/stage-update-helper-sample/neighborhood-decompiled/14009d610_FUN_14009d610.c,307,9,dVar21 - dVar19,in_stack_fffffffffffffee8._8_8_,,
FUN_14006c2f0,7,1,reverse/ghidra-or-ida/exports/gameplay-spawn-helpers-renamed/neighborhood-decompiled/14005cc30_FUN_14005cc30.c,362,9,DAT_14053a178,"CONCAT44(uVar32,1)",,
FUN_14006c2f0,7,1,reverse/ghidra-or-ida/exports/gameplay-spawn-helpers-renamed/neighborhood-decompiled/14005cc30_FUN_14005cc30.c,365,9,uVar34,1,,
FUN_14006c2f0,7,2,reverse/ghidra-or-ida/exports/gameplay-spawn-helpers-renamed/neighborhood-decompiled/140043710_FUN_140043710.c,191,9,"CONCAT44(uVar18,uVar17)",in_stack_fffffffffffffe88._8_8_,,
FUN_14006c2f0,7,2,reverse/ghidra-or-ida/exports/gameplay-spawn-helpers-renamed/neighborhood-decompiled/140043710_FUN_140043710.c,208,9,dVar15,in_stack_fffffffffffffe88._8_8_,,
FUN_1400709b0,3,7,reverse/ghidra-or-ida/exports/gameplay-spawn-helpers-renamed/neighborhood-decompiled/14009a4a0_FUN_14009a4a0.c,293,11,"CONCAT44(uVar25,uVar24)",in_stack_ffffffffffffff08._8_8_,uVar15,30000
FUN_1400709b0,3,7,reverse/ghidra-or-ida/exports/gameplay-spawn-helpers-renamed/neighborhood-decompiled/14009a4a0_FUN_14009a4a0.c,304,11,"CONCAT44(uVar25,uVar24)",auVar39._8_8_,uVar15,30000
FUN_14006c2f0,7,0,reverse/ghidra-or-ida/exports/gameplay-spawn-helpers-renamed/neighborhood-decompiled/140012dc0_FUN_140012dc0.c,191,9,dVar27,1,,
FUN_14006c2f0,7,0,reverse/ghidra-or-ida/exports/gameplay-spawn-helpers-renamed/neighborhood-decompiled/140012dc0_FUN_140012dc0.c,199,9,dVar27,1,,
FUN_14006c2f0,2,3,reverse/ghidra-or-ida/exports/gameplay-spawn-helpers-renamed/neighborhood-decompiled/140012dc0_FUN_140012dc0.c,424,9,dVar13,1,,
FUN_14006c2f0,2,3,reverse/ghidra-or-ida/exports/gameplay-spawn-helpers-renamed/neighborhood-decompiled/140012dc0_FUN_140012dc0.c,432,9,dVar11 + DAT_140539f90,1,,
FUN_1400709b0,3,0,reverse/ghidra-or-ida/exports/gameplay-spawn-helpers-renamed/neighborhood-decompiled/1400dcd10_FUN_1400dcd10.c,238,11,dVar22,1,uVar16,0x8000
FUN_1400709b0,3,0,reverse/ghidra-or-ida/exports/gameplay-spawn-helpers-renamed/neighborhood-decompiled/1400dcd10_FUN_1400dcd10.c,245,11,dVar23,1,uVar16,0x8000
FUN_1400709b0,3,0,reverse/ghidra-or-ida/exports/gameplay-spawn-helpers-renamed/neighborhood-decompiled/1400dcd10_FUN_1400dcd10.c,345,11,dVar22,1,uVar16,0x8000
FUN_1400709b0,3,0,reverse/ghidra-or-ida/exports/gameplay-spawn-helpers-renamed/neighborhood-decompiled/1400dcd10_FUN_1400dcd10.c,352,11,dVar23,1,uVar16,0x8000
