stage,file,line,helper,args,context
01,140118420_stage_01_gameplay_update_candidate.c,27,stage_spawn_dispatch_candidate,"10,0x960,0x1e0,0x96",if (DAT_140e451a4 != 0) { | if (DAT_140e418c8 == 200) {
01,140118420_stage_01_gameplay_update_candidate.c,30,stage_spawn_dispatch_candidate,"10,0x960,0xf0,200",if (DAT_140e451a4 != 0) { | if (DAT_140e418c8 == 200) { | if (DAT_140e418c8 == 0x104) {
01,140118420_stage_01_gameplay_update_candidate.c,33,stage_spawn_dispatch_candidate,"10,2000,0x208,100",if (DAT_140e418c8 == 200) { | if (DAT_140e418c8 == 0x104) { | if (DAT_140e418c8 == 0x15e) {
01,140118420_stage_01_gameplay_update_candidate.c,36,stage_spawn_dispatch_candidate,"10,2000,0x168,100",if (DAT_140e418c8 == 0x104) { | if (DAT_140e418c8 == 0x15e) { | if (DAT_140e418c8 == 0x16d) {
01,140118420_stage_01_gameplay_update_candidate.c,39,stage_spawn_dispatch_candidate,"10,2000,200,100",if (DAT_140e418c8 == 0x15e) { | if (DAT_140e418c8 == 0x16d) { | if (DAT_140e418c8 == 0x17c) {
01,140118420_stage_01_gameplay_update_candidate.c,50,stage_spawn_dispatch_candidate,"0xb,400,DAT_140e9fd1c % 0x12d + 0x3c,0xffffffec",if ((uVar4 < 0x50) && (uVar4 == ((int)uVar4 / 0x14) * 0x14)) {
01,140118420_stage_01_gameplay_update_candidate.c,54,stage_spawn_dispatch_candidate,"6,5000,0x1cc,0",if ((int)uVar7 == 700) {
01,140118420_stage_01_gameplay_update_candidate.c,58,stage_spawn_dispatch_candidate,"0xe,10000,0x118,0",if ((int)uVar7 == 700) { | if ((int)uVar7 == 900) {
01,140118420_stage_01_gameplay_update_candidate.c,62,stage_spawn_dispatch_candidate,"0xe,10000,0x1cc,0",if ((int)uVar7 == 900) { | if ((int)uVar7 == 0x44c) {
01,140118420_stage_01_gameplay_update_candidate.c,73,stage_spawn_dispatch_candidate,"0xc,400,DAT_140e9fd1c % 0x191 + 0xa0,0xffffffec",if ((uVar4 < 0x96) && (uVar4 == ((int)uVar4 / 0x14) * 0x14)) {
01,140118420_stage_01_gameplay_update_candidate.c,84,stage_spawn_dispatch_candidate,"0xd,700,0x2e4,DAT_140e9fd1c % 0x65 + 0xfa",if ((uVar4 < 300) && (uVar4 == ((int)uVar4 / 0x1e) * 0x1e)) {
01,140118420_stage_01_gameplay_update_candidate.c,95,stage_spawn_dispatch_candidate,"0xb,500,0xffffffec,DAT_140e9fd1c % 0xc9 + 100",if ((uVar4 < 0x78) && (uVar4 == ((int)uVar4 / 0x14) * 0x14)) {
01,140118420_stage_01_gameplay_update_candidate.c,106,stage_spawn_dispatch_candidate,"0xb,500,0x2e4,DAT_140e9fd1c % 0xc9 + 100",if ((uVar4 < 0x50) && (uVar4 == ((int)uVar4 / 0x14) * 0x14)) {
01,140118420_stage_01_gameplay_update_candidate.c,110,stage_spawn_dispatch_candidate,"0xf,8000,0x348,0x96",if ((int)uVar7 == 0x898) {
01,140118420_stage_01_gameplay_update_candidate.c,121,stage_spawn_dispatch_candidate,"0xd,700,0xffffffec,DAT_140e9fd1c % 0x65 + 0xfa",if ((uVar4 < 200) && (uVar4 == ((int)uVar4 / 0x1e) * 0x1e)) {
01,140118420_stage_01_gameplay_update_candidate.c,132,stage_spawn_dispatch_candidate,"0xb,400,DAT_140e9fd1c % 0x191 + 0xa0,0xffffffec",if ((uVar4 < 100) && (uVar4 == ((int)uVar4 / 10) * 10)) {
01,140118420_stage_01_gameplay_update_candidate.c,137,stage_spawn_dispatch_candidate,"0x10,40000,0x168,0x50",if (uVar4 == 0xabe) {
01,140118420_stage_01_gameplay_update_candidate.c,155,stage_spawn_dispatch_candidate,"0xc,400,DAT_140e9fd1c % 0x191 + 0xa0,0xffffffec","if ((((int)uVar4 < 0xdde) && (iVar3 = (int)(uVar4 - 0xaf0) % 0x96, iVar3 < 100)) &&"
01,140118420_stage_01_gameplay_update_candidate.c,159,stage_spawn_dispatch_candidate,"0xe,7000,0x168,0",if ((int)uVar7 == 0xe10) {
01,140118420_stage_01_gameplay_update_candidate.c,173,stage_spawn_dispatch_candidate,"0xb,500,0x2e4,DAT_140e9fd1c % 0xc9 + 100",if (((int)uVar4 < 0xf78) && (uVar4 - 0xed8 == ((int)(uVar4 - 0xed8) / 0x14) * 0x14)) {
01,140118420_stage_01_gameplay_update_candidate.c,185,stage_spawn_dispatch_candidate,"0xd,500,0xffffffec,DAT_140e9fd1c % 0x65 + 300",if ((uVar4 < 200) && (uVar4 == ((int)uVar4 / 0x1e) * 0x1e)) {
01,140118420_stage_01_gameplay_update_candidate.c,189,stage_spawn_dispatch_candidate,"0xe,7000,0x1cc,0",if ((int)uVar7 == 0x1068) {
01,140118420_stage_01_gameplay_update_candidate.c,193,stage_spawn_dispatch_candidate,"0xf,8000,0xffffff88,100",if ((int)uVar7 == 0x1068) { | if ((int)uVar7 == 0x1108) {
01,140118420_stage_01_gameplay_update_candidate.c,209,stage_spawn_dispatch_candidate,"0xc,400,DAT_140e9fd1c % 0x191 + 0xa0,0xffffffec",if (uVar4 == 0) {
01,140118420_stage_01_gameplay_update_candidate.c,221,stage_spawn_dispatch_candidate,"0xd,500,0xffffffec,DAT_140e9fd1c % 0x65 + 0xfa",if ((uVar4 < 200) && (uVar4 == ((int)uVar4 / 0x1e) * 0x1e)) {
01,140118420_stage_01_gameplay_update_candidate.c,233,stage_spawn_dispatch_candidate,"0xb,400,DAT_140e9fd1c % 0xc9 + 0x168,0xffffffec",if ((uVar5 < 0x96) && (uVar5 == ((int)uVar5 / 0x14) * 0x14)) {
01,140118420_stage_01_gameplay_update_candidate.c,237,stage_spawn_dispatch_candidate,"8,5000,0x104,0",if (uVar4 == 0x13ec) {
01,140118420_stage_01_gameplay_update_candidate.c,25,stage_intro_banner_event_candidate,"iVar3,DAT_140e445c0,DAT_140e418c8,0x32,0xe6,0",if (DAT_140e451a4 != 0) {
02,140119640_stage_02_gameplay_update_candidate.c,54,stage_spawn_dispatch_candidate,"0x19,800,DAT_140e418c8 * 4 + -0x398,0xffffffec",if ((uVar3 < 0x78) && (uVar3 == ((int)uVar3 / 0x1e) * 0x1e)) {
02,140119640_stage_02_gameplay_update_candidate.c,65,stage_spawn_dispatch_candidate,"0x1a,300,DAT_140e9fd1c % 0xfb + 0x104,0xffffffec",if ((uVar3 < 0xbe) && (uVar3 == ((int)uVar3 / 0xe) * 0xe)) {
02,140119640_stage_02_gameplay_update_candidate.c,69,stage_spawn_dispatch_candidate,"7,5000,0x104,0",if ((int)uVar4 == 700) {
02,140119640_stage_02_gameplay_update_candidate.c,100,stage_spawn_dispatch_candidate,"0x1d,0x6a4,(int)*(float *)(&local_a8 + uVar4), (int)*(float *)((longlong)&local_a8 + uVar4 * 8 + 4)",
02,140119640_stage_02_gameplay_update_candidate.c,107,stage_spawn_dispatch_candidate,"0x1e,0x834,(int)*(float *)(&local_d8 + uVar5), (int)*(float *)((longlong)&local_d8 + uVar5 * 8 + 4)",
02,140119640_stage_02_gameplay_update_candidate.c,112,stage_spawn_dispatch_candidate,"0x1f,11000,0x1e4,0xfffff242",
02,140119640_stage_02_gameplay_update_candidate.c,123,stage_spawn_dispatch_candidate,"0xb,400,0x2e4,DAT_140e9fd1c % 0xc9 + 100",if ((uVar3 < 100) && (uVar3 == ((int)uVar3 / 0x12) * 0x12)) {
02,140119640_stage_02_gameplay_update_candidate.c,127,stage_spawn_dispatch_candidate,"0x1b,0x1130,0x104,0",if ((int)uVar4 == 0x6a4) {
02,140119640_stage_02_gameplay_update_candidate.c,131,stage_spawn_dispatch_candidate,"0x1b,0x1130,0x1cc,0",if ((int)uVar4 == 0x6a4) { | if ((int)uVar4 == 0x708) {
02,140119640_stage_02_gameplay_update_candidate.c,142,stage_spawn_dispatch_candidate,"0xd,400,0xffffffec,DAT_140e9fd1c % 0x65 + 0x96",if ((uVar3 < 200) && (uVar3 == ((int)uVar3 / 0x19) * 0x19)) {
02,140119640_stage_02_gameplay_update_candidate.c,153,stage_spawn_dispatch_candidate,"0x19,500,DAT_140e9fd1c % 0xc9 + 0x168,0xffffffec",if ((uVar3 < 100) && (uVar3 == ((int)uVar3 / 0x14) * 0x14)) {
02,140119640_stage_02_gameplay_update_candidate.c,164,stage_spawn_dispatch_candidate,"0x1a,300,DAT_140e9fd1c % 0x12d + 0xa0,0xffffffec",if ((uVar3 < 0x32) && (uVar3 == ((int)uVar3 / 10) * 10)) {
02,140119640_stage_02_gameplay_update_candidate.c,168,stage_spawn_dispatch_candidate,"0x1b,0x1130,0xf0,0",if ((int)uVar4 == 0x8ca) {
02,140119640_stage_02_gameplay_update_candidate.c,179,stage_spawn_dispatch_candidate,"0xb,400,0x2e4,DAT_140e9fd1c % 0x97 + 100",if ((uVar3 < 100) && (uVar3 == ((int)uVar3 / 0x12) * 0x12)) {
02,140119640_stage_02_gameplay_update_candidate.c,190,stage_spawn_dispatch_candidate,"0xb,400,0xffffffec,DAT_140e9fd1c % 0x97 + 100",if ((uVar3 < 100) && (uVar3 == ((int)uVar3 / 0x12) * 0x12)) {
02,140119640_stage_02_gameplay_update_candidate.c,194,stage_spawn_dispatch_candidate,"0x1c,6000,0x348,0x32",if ((int)uVar4 == 0xa28) {
02,140119640_stage_02_gameplay_update_candidate.c,205,stage_spawn_dispatch_candidate,"0x1a,300,DAT_140e9fd1c % 0x12d + 0xd2,0xffffffec",if ((uVar3 < 0xa0) && (uVar3 == ((int)uVar3 / 0xf) * 0xf)) {
02,140119640_stage_02_gameplay_update_candidate.c,209,stage_spawn_dispatch_candidate,"0x1c,6000,0xffffff88,100",if ((int)uVar4 == 0xb54) {
02,140119640_stage_02_gameplay_update_candidate.c,220,stage_spawn_dispatch_candidate,"0xb,400,DAT_140e9fd1c % 0x191 + 0xa0,0xffffffec",if ((uVar3 < 100) && (uVar3 == ((int)uVar3 / 0xf) * 0xf)) {
02,140119640_stage_02_gameplay_update_candidate.c,231,stage_spawn_dispatch_candidate,"0x19,700,DAT_140e9fd1c % 0x191 + 0xa0,0xffffffec",if ((uVar3 < 100) && (uVar3 == ((int)uVar3 / 0x14) * 0x14)) {
02,140119640_stage_02_gameplay_update_candidate.c,235,stage_spawn_dispatch_candidate,"0x1b,4000,0x168,0",if ((int)uVar4 == 0xce4) {
02,140119640_stage_02_gameplay_update_candidate.c,239,stage_spawn_dispatch_candidate,"0x1b,4000,0x1fe,0",if ((int)uVar4 == 0xce4) { | if ((int)uVar4 == 0xd34) {
02,140119640_stage_02_gameplay_update_candidate.c,250,stage_spawn_dispatch_candidate,"0x1a,300,DAT_140e9fd1c % 0x12d + 0xd2,0xffffffec",if ((uVar3 < 100) && (uVar3 == ((int)uVar3 / 0xf) * 0xf)) {
02,140119640_stage_02_gameplay_update_candidate.c,254,stage_spawn_dispatch_candidate,"0x1c,5000,0x348,0x50",if ((int)uVar4 == 0xe74) {
02,140119640_stage_02_gameplay_update_candidate.c,265,stage_spawn_dispatch_candidate,"0x19,700,DAT_140e9fd1c % 0x191 + 0xa0,0xffffffec",if ((uVar3 < 0x8c) && (uVar3 == ((int)uVar3 / 0x14) * 0x14)) {
02,140119640_stage_02_gameplay_update_candidate.c,276,stage_spawn_dispatch_candidate,"0xb,400,0xffffffec,DAT_140e9fd1c % 0x97 + 100",if ((uVar3 < 0x6e) && (uVar3 == ((int)uVar3 / 0xf) * 0xf)) {
02,140119640_stage_02_gameplay_update_candidate.c,280,stage_spawn_dispatch_candidate,"0x1b,0xe10,0x1e0,0",if ((int)uVar4 == 0x1248) {
02,140119640_stage_02_gameplay_update_candidate.c,284,stage_spawn_dispatch_candidate,"0x1b,0xe10,0xf0,0",if ((int)uVar4 == 0x1248) { | if ((int)uVar4 == 0x1298) {
02,140119640_stage_02_gameplay_update_candidate.c,295,stage_spawn_dispatch_candidate,"0x1a,300,DAT_140e9fd1c % 0x12d + 0xd2,0xffffffec",if ((uVar3 < 0x28) && (uVar3 == ((int)uVar3 / 10) * 10)) {
02,140119640_stage_02_gameplay_update_candidate.c,299,stage_spawn_dispatch_candidate,"0x1c,0x1068,0x348,0x50",if ((int)uVar4 == 0x1306) {
02,140119640_stage_02_gameplay_update_candidate.c,303,stage_spawn_dispatch_candidate,"0x1c,0x1068,0xffffff88,0x50",if ((int)uVar4 == 0x1306) { | if ((int)uVar4 == 0x136a) {
02,140119640_stage_02_gameplay_update_candidate.c,307,stage_spawn_dispatch_candidate,"0x1c,0x1068,0x348,0x50",if ((int)uVar4 == 0x136a) { | if ((int)uVar4 == 0x13ce) {
02,140119640_stage_02_gameplay_update_candidate.c,323,stage_spawn_dispatch_candidate,"0x1a,300,DAT_140e9fd1c % 0x259 + 0x3c,0",if (uVar3 == 0) {
02,140119640_stage_02_gameplay_update_candidate.c,329,stage_spawn_dispatch_candidate,"0x20,0x2b5c,0x168,0xfffffe0c",if (uVar3 == 0x14b4) {
