relative_path,category,extension,size_bytes,sha256,width,height,duration_seconds,encoding,line_count
Thumbs.db,(root),.db,96768,06d5f7d6fbbf0594b4730594d4565906b50a455c7c73b1a700f58df2c16fc583,,,,,
bgm/Boss1.ogg,bgm,.ogg,1377042,354f9096fc471bd97e3312a8a283d0529ddaa443f89a659cb04cc51165237eaa,,,70.588,,
bgm/Boss2.ogg,bgm,.ogg,2389246,d25746a85816195d47c63f970960b2cb05623f78f8404304fdb3ee90d17c2b88,,,115.955,,
bgm/Boss3.ogg,bgm,.ogg,4548232,4206010db6b592031062aa857631d55ad8fce8024b5385ffc77c70bb64565c9e,,,230.440,,
bgm/Boss4.ogg,bgm,.ogg,3078112,58a7ec9049e200a250f41afe3b5d9eae50066506cb887469f6c13cb83add5923,,,153.600,,
bgm/Boss5.ogg,bgm,.ogg,2811362,cfe891c20a00260a042251b68378e5537be2de0b92c9147f70725036027bab4f,,,137.600,,
bgm/Ending.ogg,bgm,.ogg,2794027,c7be16dd3c002ce228a628803b7401aafa2c47bfaa08754dec1956bbf6965a45,,,132.325,,
bgm/Gameover.ogg,bgm,.ogg,132315,5d8d0eee2cc9a880c8ba9c48b52399d6f7271a2403c031939f771f0cbb5a10ea,,,6.706,,
bgm/Opening.ogg,bgm,.ogg,1860905,02546296a6c872132c8d688ed2840d26572b8bf4119fc6a59bee12233d26664e,,,97.549,,
bgm/Stage1.ogg,bgm,.ogg,1939646,f518121eab7de1907752ccf52bc136abbb6eb6f748e452cd9f40e395d538c340,,,96.169,,
bgm/Stage10.ogg,bgm,.ogg,6629408,9b4e7e0968dffeaa8e20fcb16623186be5fb298eb58370a7f78d372f88bbaffa,,,306.000,,
bgm/Stage2.ogg,bgm,.ogg,4135176,14d88d2226f75472f102524890d7085ca6a6824fa33fe65fa9b2df3916a4daf4,,,203.379,,
bgm/Stage3.ogg,bgm,.ogg,3780488,f70b5e9edb4f6f5036695cc415f02f2be9edaeed6b214c4010fbeeef2c684918,,,208.994,,
bgm/Stage4.ogg,bgm,.ogg,4278113,a0b8bf4ba4ba916deca2b1d25c25d48c8fe749d27a91de697e2e107e2022330e,,,198.270,,
bgm/Stage5.ogg,bgm,.ogg,4300088,c32495f6f6af467d4a0264a2cd254b007bde8344132a29b155aeb8140e42ad12,,,201.600,,
bgm/Stage6.ogg,bgm,.ogg,5332082,cc5bdd6fff567c54de2a6f629c8704cb7c703e21801c4e588128dec2792d4558,,,245.800,,
bgm/Stage7.ogg,bgm,.ogg,5587384,1e24e0ef67a005901ead9fcd022e62c1c512a22560bddd2ecc85c69983d9736c,,,255.172,,
bgm/Stage8.ogg,bgm,.ogg,7575593,f5e6ccbb22f37b7cc3ef4b3f802e3a5ab765d48416b4d088271102c988740a0c,,,358.466,,
