offset_hex,exe_path,re_relative,exists,actual_path
0x535f20,media\demo\LD_demo%02d.txt,demo\LD_demo%02d.txt,False,
0x535fb8,media\system\WhiteBack.png,system\WhiteBack.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/WhiteBack.png
0x535fd8,media\system\starting.png,system\starting.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/Starting.png
0x535ff8,media\system\NowLoading.png,system\NowLoading.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/NowLoading.png
0x536018,media\system\TitleBack.png,system\TitleBack.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/TitleBack.png
0x536038,media\system\TitleLogo.png,system\TitleLogo.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/TitleLogo.png
0x536058,media\player\DataWindow.png,player\DataWindow.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/DataWindow.png
0x536078,media\player\TimeWindow.png,player\TimeWindow.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/TimeWindow.png
0x536098,media\stage\EnemyGauge2.png,stage\EnemyGauge2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/EnemyGauge2.png
0x5360b8,media\stage\BossApproach2.png,stage\BossApproach2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/BossApproach2.png
0x5360d8,media\stage\Stage2Back.png,stage\Stage2Back.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/Stage2Back.png
0x5360f8,media\stage\Stage3Back.png,stage\Stage3Back.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/Stage3Back.png
0x536118,media\stage\Stage6Back.png,stage\Stage6Back.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/Stage6Back.png
0x536138,media\stage\Stage8Back1.png,stage\Stage8Back1.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/Stage8Back1.png
0x536158,media\stage\Stage8Back2.png,stage\Stage8Back2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/Stage8Back2.png
0x536178,media\gallery\NoticeFrame.png,gallery\NoticeFrame.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/NoticeFrame.png
0x536198,media\gallery\GalleryFrame.png,gallery\GalleryFrame.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/GalleryFrame.png
0x5361b8,media\gallery\EnemyListWindow.png,gallery\EnemyListWindow.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/EnemyListWindow.png
0x5361e0,media\system\DemoLogo.png,system\DemoLogo.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/DemoLogo.png
0x536200,media\system\BetaLogo.png,system\BetaLogo.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/BetaLogo.png
0x536220,media\system\DemoEnd.png,system\DemoEnd.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/DemoEnd.png
0x536240,media\system\TitleMenu.png,system\TitleMenu.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/TitleMenu.png
0x536260,media\system\Stand.png,system\Stand.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/Stand.png
0x536278,media\system\TextBox.png,system\TextBox.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/TextBox.png
0x536298,media\system\TextIcon.png,system\TextIcon.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/TextIcon.png
0x5362b8,media\system\StageFrame.png,system\StageFrame.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/StageFrame.png
